no,competency_type_id,level,deskripsi_perilaku,tools_training,kode,topik_training,generated_file_url,generated_pdf_url,generated_at
100,20,3,"Konsisten bersikap etis dalam situasi yang rumit,  mempertimbangkan dampak moral dari keputusan,  dan tetap melakukan hal yang benar walaupun berisiko secara pribadi.",", Leading by Example: Supervisory Role Model",M150,Supervisory Leadership,NULL,NULL,NULL
101,20,2,Bertindak adil dan jujur meskipun menghadapi ketidaknyamanan, serta menyadari konsekuensi dari tindakan yang dilakukan.,7 Habits of Highly Effective People : Be Proactive,M151,Taking Ownership of Actions,NULL,NULL
102,20,2,Bertindak adil dan jujur meskipun menghadapi ketidaknyamanan, serta menyadari konsekuensi dari tindakan yang dilakukan.,Compliance & Confidentiality,M152,Pilar Etika di Tempat Kerja,NULL,NULL
103,20,1,"Menunjukkan sikap jujur,  terbuka,  dan bertanggung jawab dalam situasi yang tidak berisiko,  serta memahami pentingnya bersikap benar dalam bekerja.",", Basic Knowledge of Integrity",M153,A Guide to Workplace Integrity,NULL,NULL,NULL
104,20,1,"Menunjukkan sikap jujur,  terbuka,  dan bertanggung jawab dalam situasi yang tidak berisiko,  serta memahami pentingnya bersikap benar dalam bekerja., T.H.I.N.K.",Model,M154,Communicating with Integrity,NULL,NULL,NULL
105,12,4,"Menjadi panutan dalam menerapkan nilai-nilai kerja yang positif,  membangun kepercayaan melalui komunikasi yang efektif dan inspiratif,  serta memimpin kelompok secara strategis untuk mencapai hasil optimal., Leadership Competency in Industry 5.",0,M155,Leadership on Industry 5.0,NULL,NULL,NULL
106,12,4,"Menjadi panutan dalam menerapkan nilai-nilai kerja yang positif,  membangun kepercayaan melalui komunikasi yang efektif dan inspiratif,  serta memimpin kelompok secara strategis untuk mencapai hasil optimal.",", Leading High-Performing Teams with Tuckman’s Model",M156,Build High-Performance Teams,NULL,NULL,NULL
107,12,3,"Mengelola tim atau kelompok secara aktif dengan memberikan arahan yang jelas,  menjelaskan tujuan bersama,  serta mendorong rekan kerja atau bawahan untuk meningkatkan kinerja dan kapasitas diri.",", GRPI Model (Goals,  Roles,  Processes,  Interpersonal)",M157,Team Development Effectivity,NULL,NULL,NULL
108,12,3,"Mengelola tim atau kelompok secara aktif dengan memberikan arahan yang jelas,  menjelaskan tujuan bersama,  serta mendorong rekan kerja atau bawahan untuk meningkatkan kinerja dan kapasitas diri.",", Sandwich Feedback for Supervisory",M158,Effective Positive Feedback,NULL,NULL,NULL
109,12,2,"Menumbuhkan semangat kerja tim dengan memberi apresiasi pada anggota,  mengenali potensi dan kebutuhan rekan kerja atau bawahan,  serta secara aktif mendorong keterlibatan dan kolaborasi dalam penyelesaian suatu tugas atau pekerjaan.",", Leader vs Boss Comparison Model",M159,Leader vs Boss: Leadership Styles,NULL,NULL,NULL
110,12,2,"Menumbuhkan semangat kerja tim dengan memberi apresiasi pada anggota,  mengenali potensi dan kebutuhan rekan kerja atau bawahan,  serta secara aktif mendorong keterlibatan dan kolaborasi dalam penyelesaian suatu tugas atau pekerjaan.",", Ken Blanchard’s Situational Leadership Model",M160,Becoming an Adaptive Leader,NULL,NULL,NULL
111,12,1,Menunjukkan peran kepemimpinan dengan menjadi contoh positif dalam menyelesaikan tugas, memberikan dukungan kepada rekan kerja atau bawahan.,T.H.I.N.K. Model,M161,Enhancing Team Communication,NULL,NULL
112,12,1,Menunjukkan peran kepemimpinan dengan menjadi contoh positif dalam menyelesaikan tugas, memberikan dukungan kepada rekan kerja atau bawahan.,Kaizen Mindset 101,M162,Kaizen for Continuous Improvement,NULL,NULL
113,1,4,Memimpin perubahan yang terjadi dan membangun budaya yang adaptif melalui komunikasi efektif dan kesiapan dalam menghadapi perubahan.,Force Field Analysis,M163,Change Force Analysis,NULL,NULL,NULL
114,1,4,Memimpin perubahan yang terjadi dan membangun budaya yang adaptif melalui komunikasi efektif dan kesiapan dalam menghadapi perubahan.,", OODA Loop (Observe,  Orient,  Decide,  Act)",M164,Decision Making during Crisis,NULL,NULL,NULL
